"zipcode","origin_county","origin_lat","origin_lon","destination","destination_lat","destination_lon","flow_count","Age","Disability","Income","Race"
"77002","Harris County","29.7594","-95.3594","Downtown Houston","29.7566137","-95.3588701","1","25-34","No","$25,000-$49,999","Asian or Pacific Islander"
"77002","Harris County","29.7594","-95.3594","Galveston","29.300128","-94.795846","1","25-34","No","$50,000-$74,999","Asian or Pacific Islander"
"77002","Harris County","29.7594","-95.3594","Galveston","29.300128","-94.795846","1","55-64","No","$75,000 or more","Hispanic/Latino"
"77002","Harris County","29.7594","-95.3594","Katy","29.7948568","-95.8165311","1","35-44","No","$75,000 or more","White"
"77002","Harris County","29.7594","-95.3594","NASA Johnson Space Center","29.5527935","-95.093071","1","35-44","Yes","$25,000-$49,999","Black"
"77002","Harris County","29.7594","-95.3594","Pearland","29.5636884","-95.2861747","1","55-64","No","$25,000-$49,999","White"
"77002","Harris County","29.7594","-95.3594","The Woodlands","30.1820388","-95.4846124","1","35-44","No","$75,000 or more","White"
"77003","Harris County","29.7489","-95.3391","Downtown Houston","29.7566137","-95.3588701","1","25-34","No","$75,000 or more","White"
"77003","Harris County","29.7489","-95.3391","Galveston","29.300128","-94.795846","1","25-34","No","$75,000 or more","White"
"77003","Harris County","29.7489","-95.3391","Galveston","29.300128","-94.795846","1","55-64","No","$75,000 or more","White"
"77003","Harris County","29.7489","-95.3391","Galveston","29.300128","-94.795846","1","55-64","No","Prefer not to answer","White"
"77003","Harris County","29.7489","-95.3391","NASA Johnson Space Center","29.5527935","-95.093071","2","25-34","No","$75,000 or more","White"
"77003","Harris County","29.7489","-95.3391","The Galleria","29.739332","-95.463878","1","55-64","No","$75,000 or more","White"
"77003","Harris County","29.7489","-95.3391","William P. Hobby Airport","29.6524","-95.27723","1","25-34","No","$75,000 or more","White"
"77003","Harris County","29.7489","-95.3391","Willowbrook Mall","29.960172","-95.539677","1","25-34","No","$75,000 or more","Asian or Pacific Islander"
"77004","Harris County","29.7247","-95.3625","Austin","30.264979","-97.746598","1","45-54","No","$50,000-$74,999","White"
"77004","Harris County","29.7247","-95.3625","Beaumont","30.0861523","-94.1020101","1","25-34","No","$25,000-$49,999","White"
"77004","Harris County","29.7247","-95.3625","Brenham","30.160692","-96.398466","1","25-34","No","$75,000 or more","White"
"77004","Harris County","29.7247","-95.3625","Dallas","32.7779765","-96.7962148","1","45-54","No","$50,000-$74,999","White"
"77004","Harris County","29.7247","-95.3625","El Paso","31.7601062","-106.4922918","1","45-54","No","$50,000-$74,999","White"
"77004","Harris County","29.7247","-95.3625","Galveston","29.300128","-94.795846","1","25-34","No","$25,000-$49,999","White"
"77004","Harris County","29.7247","-95.3625","Galveston","29.300128","-94.795846","1","25-34","No","$75,000 or more","White"
"77004","Harris County","29.7247","-95.3625","Galveston","29.300128","-94.795846","1","35-44","Yes","$75,000 or more","White"
"77004","Harris County","29.7247","-95.3625","Galveston","29.300128","-94.795846","1","45-54","No","$50,000-$74,999","White"
"77004","Harris County","29.7247","-95.3625","Galveston","29.300128","-94.795846","1","45-54","No","$75,000 or more","White"
"77004","Harris County","29.7247","-95.3625","Galveston","29.300128","-94.795846","1","55-64","No","$75,000 or more","White"
"77004","Harris County","29.7247","-95.3625","Galveston","29.300128","-94.795846","1","65+","Yes","$15,000-$24,999","Other"
"77004","Harris County","29.7247","-95.3625","George Bush Intercontinental Airport","29.9878157","-95.3414885","1","25-34","No","$50,000-$74,999","White"
"77004","Harris County","29.7247","-95.3625","Houston Community College","29.6425","-95.3896","1","35-44","No","$50,000-$74,999","White"
"77004","Harris County","29.7247","-95.3625","Katy","29.7948568","-95.8165311","1","25-34","No","$50,000-$74,999","Prefer not to answer"
"77004","Harris County","29.7247","-95.3625","NRG Park","29.68737","-95.41234","1","55-64","Yes","$25,000-$49,999","Other"
"77004","Harris County","29.7247","-95.3625","Richmond","29.576349","-95.765327","1","35-44","No","$50,000-$74,999","White"
"77004","Harris County","29.7247","-95.3625","San Antonio","29.4251712","-98.494614","1","35-44","Yes","$50,000-$74,999","White"
"77004","Harris County","29.7247","-95.3625","San Antonio","29.4251712","-98.494614","1","45-54","No","$50,000-$74,999","White"
"77004","Harris County","29.7247","-95.3625","Sugar Land","29.597075","-95.620971","1","18-24","No","$50,000-$74,999","White"
"77004","Harris County","29.7247","-95.3625","Sugar Land","29.597075","-95.620971","1","25-34","No","$50,000-$74,999","Prefer not to answer"
"77004","Harris County","29.7247","-95.3625","Sugar Land","29.597075","-95.620971","1","35-44","No","$75,000 or more","White"
"77004","Harris County","29.7247","-95.3625","The Galleria","29.739332","-95.463878","1","35-44","No","$50,000-$74,999","White"
"77004","Harris County","29.7247","-95.3625","The Woodlands","30.1820388","-95.4846124","1","25-34","No","$50,000-$74,999","Prefer not to answer"
"77004","Harris County","29.7247","-95.3625","Webster","29.5371685","-95.1278882","1","65+","Yes","$15,000-$24,999","Other"
"77005","Harris County","29.7179","-95.4263","Galveston","29.300128","-94.795846","1","35-44","No","$75,000 or more","White"
"77005","Harris County","29.7179","-95.4263","Galveston","29.300128","-94.795846","1","55-64","Prefer not to answer","$75,000 or more","White"
"77005","Harris County","29.7179","-95.4263","Galveston","29.300128","-94.795846","1","Under 18","No","$25,000-$49,999","White"
"77005","Harris County","29.7179","-95.4263","George Bush Intercontinental Airport","29.9878157","-95.3414885","1","35-44","No","$75,000 or more","White"
"77005","Harris County","29.7179","-95.4263","Hermann Park","29.7104426","-95.3911205","1","35-44","No","$75,000 or more","White"
"77005","Harris County","29.7179","-95.4263","The Galleria","29.739332","-95.463878","1","45-54","No","$75,000 or more","White"
"77005","Harris County","29.7179","-95.4263","William P. Hobby Airport","29.6524","-95.27723","1","35-44","No","$75,000 or more","White"
"77006","Harris County","29.7409","-95.3923","Austin","30.264979","-97.746598","1","45-54","Prefer not to answer","$25,000-$49,999","White"
"77006","Harris County","29.7409","-95.3923","Baytown","29.732081","-94.967821","1","25-34","No","$75,000 or more","White"
"77006","Harris County","29.7409","-95.3923","Downtown Houston","29.7566137","-95.3588701","2","25-34","No","$75,000 or more","White"
"77006","Harris County","29.7409","-95.3923","Downtown Houston","29.7566137","-95.3588701","2","55-64","No","$75,000 or more","White"
"77006","Harris County","29.7409","-95.3923","Dunlavy Street","29.7411995006","-95.4020506631","1","35-44","No","$50,000-$74,999","White"
"77006","Harris County","29.7409","-95.3923","Energy Corridor","29.78967","-95.69371","1","55-64","No","$75,000 or more","White"
"77006","Harris County","29.7409","-95.3923","Fulshear","29.693083","-95.900337","1","45-54","No","$50,000-$74,999","Asian or Pacific Islander"
"77006","Harris County","29.7409","-95.3923","Galveston","29.300128","-94.795846","1","25-34","No","$75,000 or more","White"
"77006","Harris County","29.7409","-95.3923","Galveston","29.300128","-94.795846","1","25-34","Prefer not to answer","Less than $15,000","Asian or Pacific Islander"
"77006","Harris County","29.7409","-95.3923","Galveston","29.300128","-94.795846","1","25-34","Yes","$25,000-$49,999","Asian or Pacific Islander"
